Rxn,Rxn_Name,Rule,Pathway,Formula
10FTHF5GLUtl,"5-Glutamyl-10Fthf Transport, Lysosomal",,"Transport, lysosomal","10-Formyltetrahydrofolate-[Glu](5)  -> 10-Formyltetrahydrofolate-[Glu](5) "
10FTHF5GLUtm,"5-Glutamyl-10Fthf Transport, Mitochondrial",,"Transport, mitochondrial","10-Formyltetrahydrofolate-[Glu](5)  -> 10-Formyltetrahydrofolate-[Glu](5) "
10FTHF6GLUtl,"6-Glutamyl-10Fthf Transport, Lysosomal",,"Transport, lysosomal","10-Formyltetrahydrofolate-[Glu](6)  -> 10-Formyltetrahydrofolate-[Glu](6) "
10FTHF6GLUtm,"6-Glutamyl-10Fthf Transport, Mitochondrial",,"Transport, mitochondrial","10-Formyltetrahydrofolate-[Glu](6)  -> 10-Formyltetrahydrofolate-[Glu](6) "
10FTHF7GLUtl,"7-Glutamyl-10Fthf Transport, Lysosomal",,"Transport, lysosomal","10-Formyltetrahydrofolate-[Glu](7)  -> 10-Formyltetrahydrofolate-[Glu](7) "
10FTHF7GLUtm,"7-Glutamyl-10Fthf Transport, Mitochondrial",,"Transport, mitochondrial","10-Formyltetrahydrofolate-[Glu](7)  -> 10-Formyltetrahydrofolate-[Glu](7) "
10FTHFtl,"10-Formyltetrahydrofolate Lysosomal Transport via Diffusion",,"Transport, lysosomal","10-Formyltetrahydrofolate  <=> 10-Formyltetrahydrofolate "
10FTHFtm,"10-Formyltetrahydrofolate Mitochondrial Transport via Diffusion",,"Transport, mitochondrial","10-Formyltetrahydrofolate  <=> 10-Formyltetrahydrofolate "
11DOCRTSLtm,"11-Deoxycortisol Intracellular Transport",,"Transport, mitochondrial","11-Deoxycortisol  <=> 11-Deoxycortisol "
11DOCRTSLtr,"11-Deoxycortisol Intracellular Transport",,"Transport, endoplasmic reticular","11-Deoxycortisol  <=> 11-Deoxycortisol "
11DOCRTSTRNtm,"11-Deoxycorticosterone Intracellular Transport",,"Transport, mitochondrial","11-Deoxycorticosterone  <=> 11-Deoxycorticosterone "
11DOCRTSTRNtr,"11-Deoxycorticosterone Intracellular Transport",,"Transport, endoplasmic reticular","11-Deoxycorticosterone  <=> 11-Deoxycorticosterone "
13DAMPPOX,"1, 3-Diaminopropane:Oxygen Oxidoreductase (Deaminating)",AOC3 | AOC1 | AOC2 | AOC2,"Beta-Alanine metabolism","Trimethylenediaminium + Water + Oxygen  -> Beta-Aminopropion Aldehyde + Hydrogen Peroxide + Ammonium "
