Drugs,biomass_reaction,biomass_maintenance,DM_atp_c_
cannabidiol ;adapalene,0.976538479607489,0.97653263770116,1
cannabidiol ;zidovudine,0,0,1
eflornithine ;rifamycin,1,0.999999999999974,1
fluorouracil ;acetazolamide,0,0,1
fluorouracil ;brinzolamide,0,0,1
fluorouracil ;celecoxib,0,0,1
fluorouracil ;diclofenamide,0,0,1
fluorouracil ;dobutamine,0,0,1
fluorouracil ;dorzolamide,0,0,1
fluorouracil ;ethoxzolamide,0,0,1
fluorouracil ;indapamide,0,0,1
fluorouracil ;methazolamide,0,0,1
fluorouracil ;resveratrol,0,0,1
fluorouracil ;sulfanilamide,0,0,1
fluorouracil ;topiramate,0,0,1
fluorouracil ;zidovudine,0,0,1
fluorouracil ;zonisamide,0,0,1
