Model,Data,Curation,Subtype,Gene_ENTREZ,Symbol,Essentiality_Type,is_metabolic,Dependency_Score,Dependency_Probability,DepMap_ID,Average_Score
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.6730262,0.8176618,ACH-000040,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.7132398,0.8593294,ACH-000075,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.5626638,0.7282874,ACH-000128,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.7255585,0.8827424,ACH-000137,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.4643031,0.6596436,ACH-000232,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.6032199,0.7965216,ACH-000323,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.913218,0.9386273,ACH-000329,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.556186,0.7838682,ACH-000437,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-1.016933,0.974662,ACH-000490,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.6247462,0.7383421,ACH-000591,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.7447968,0.9166173,ACH-000609,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.5068338,0.6665855,ACH-001172,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.772248,0.9092318,ACH-002257,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-0.7042542,0.9444172,ACH-002269,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10558,SPTLC1 ,Common-Essential,Metabolic,-1.018577,0.9708018,ACH-002304,-0.7469667366666667
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,-0.1291129,0.09244372,ACH-000040,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,0.04993509,0.01612959,ACH-000075,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,0.1027321,0.00893932,ACH-000128,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,0.01898259,0.02224398,ACH-000137,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,0.0107839,0.02841732,ACH-000232,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,0.066545000000000007,0.01255019,ACH-000323,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,-0.06413597,0.06286971,ACH-000329,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,-0.003024623,0.03552681,ACH-000437,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,-0.33282080000000003,0.4123686,ACH-000490,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,-0.0277158,0.03064617,ACH-000591,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,-0.1062126,0.1166793,ACH-000609,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,0.02099438,0.05185989,ACH-001172,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,-0.02675361,0.05739522,ACH-002257,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,-0.1836917,0.193838,ACH-002269,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,10999,SLC27A4 ,"NA_",Metabolic,-0.05473926,0.06290205,ACH-002304,-0.05067605888333333
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,0.09236202,0.01313636,ACH-000040,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.01526524,0.03349211,ACH-000075,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.1131611,0.08171012,ACH-000128,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.02910596,0.03866749,ACH-000137,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.1029275,0.0959809,ACH-000232,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.004432216,0.02915691,ACH-000323,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.08374521,0.075322,ACH-000329,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.1155328,0.1112854,ACH-000437,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,0.05369968,0.01640472,ACH-000490,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.1949239,0.1274795,ACH-000591,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.07855929,0.0906341,ACH-000609,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.06529553,0.0722234,ACH-001172,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,0.03015377,0.03185701,ACH-002257,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.05317477,0.05865366,ACH-002269,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114134,SLC2A13 ,"NA_",Metabolic,-0.1591374,0.1690251,ACH-002304,-0.05593636306666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-1.003052,0.9593166,ACH-000040,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.4985544,0.6466558,ACH-000075,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.7901469,0.8956542,ACH-000128,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.8011304,0.9036673,ACH-000137,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.9747809,0.9501072,ACH-000232,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-1.037674,0.9567488,ACH-000323,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.4826761,0.6163133,ACH-000329,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.6861657,0.8741671,ACH-000437,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.4534831,0.6432295,ACH-000490,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.7563177,0.8744476,ACH-000591,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.6344424,0.8805249,ACH-000609,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-1.120585,0.9690554,ACH-001172,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.8007588,0.9144844,ACH-002257,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-1.198623,0.9798867,ACH-002269,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,114971,PTPMT1 ,Common-Essential,Metabolic,-0.6556232,0.8947903,ACH-002304,-0.7329919816666667
Recon3D,Rahman2015,CSF,AST,1841,DTYMK ,Common-Essential,Metabolic,-0.455130628384542,0.514570031458836,ACH-000040,-0.9209581321308341
Recon3D,Rahman2015,CSF,AST,1841,DTYMK ,Common-Essential,Metabolic,-0.482443507546515,0.623328121566697,ACH-000075,-0.9209581321308341
Recon3D,Rahman2015,CSF,AST,1841,DTYMK ,Common-Essential,Metabolic,-1.58878814400145,0.991028339957454,ACH-000128,-0.9209581321308341
