Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Drugs
0,0,0,0,,,,,PCV combination
0,0,0,0,,,,,altiratinib
1,1,1,7,SLCO1B1,SLCO1B1,SLCO1B1,ABCB1; CYP2C19; CYP3A4; SLC47A2; SLCO1B1; SLCO1B3; UGT2B17,belzutifan
0,0,0,0,,,,,bevacizumab
13,14,14,27,ABCC1; ACAT1; ALOX15; ALOX5; CAT; GPX1; GSR; HMGCR; PTGS1; PTGS2; SLC29A1; SMPD1; SOD1,ABCC1; ABCG2; ACAT1; ALOX15; ALOX5; CAT; GPX1; GSR; HMGCR; PTGS1; PTGS2; SLC29A1; SMPD1; SOD1,ABCC1; ABCG2; ACAT1; ALOX15; ALOX5; CAT; GPX1; GSR; HMGCR; PTGS1; PTGS2; SLC29A1; SMPD1; SOD1,ABCC1; ABCG2; ACAT1; ALOX15; ALOX5; CAT; CYP17A1; CYP1A1; CYP1A2; CYP1B1; CYP2C19; CYP2C9; CYP2D6; CYP3A4; CYP3A5; CYP3A7; GPX1; GSR; HMGCR; IDO1; NQO1; PLA2G1B; PTGS1; PTGS2; SLC29A1; SMPD1; SOD1,cannabidiol
3,3,3,4,ALDH1A1; GSR; KMT2A,ALDH1A1; GSR; KMT2A,ALDH1A1; GSR; KMT2A,ALDH1A1; CYP1A2; GSR; KMT2A,carmustine
0,0,0,0,,,,,cilengitide
1,1,1,11,ALOX15,ALOX15,ALOX15,ALOX15; CYP2A6; CYP2B6; CYP2C18; CYP2C19; CYP2C8; CYP2C9; CYP2D6; CYP3A4; CYP3A5; CYP3A7,cyclophosphamide
3,4,4,12,SLC22A6; SLC22A8; SLCO1B1,ABCG2; SLC22A6; SLC22A8; SLCO1B1,ABCG2; SLC22A6; SLC22A8; SLCO1B1,ABCB1; ABCG2; CYP1A2; CYP2B6; CYP2C19; CYP2C8; CYP2C9; CYP3A4; SLC22A6; SLC22A8; SLCO1B1; SLCO1B3,dabrafenib
11,13,12,31,ABCC1; ABCC2; AKR1A1; AKR1C3; ALDH1A1; CBR1; DHCR7; EBP; KMT2A; SLCO1B1; SLCO2B1,ABCC1; ABCG2; AKR1A1; AKR1C3; ALDH1A1; CBR1; CBR3; DHCR7; EBP; KMT2A; RALBP1; SLCO1B1; SLCO2B1,ABCC1; ABCC2; ABCG2; AKR1A1; AKR1C3; ALDH1A1; CBR1; DHCR7; EBP; KMT2A; SLCO1B1; SLCO2B1,ABCB1; ABCB11; ABCC1; ABCC2; ABCC3; ABCG2; AKR1A1; AKR1C3; ALDH1A1; CBR1; CBR3; CYP1B1; CYP2B6; CYP2D6; CYP3A4; DHCR7; EBP; KMT2A; NDUFS2; NDUFS3; NDUFS7; NOS1; NOS2; NOS3; NPC1; NQO1; RALBP1; SLCO1B1; SLCO1B3; SLCO2B1; XDH,doxorubicin
1,1,1,2,ODC1,ODC1,ODC1,ARG2; ODC1,eflornithine
4,4,5,16,ABCC2; PIP4K2C; SLCO1B1; SLCO2B1,ABCG2; PIP4K2C; SLCO1B1; SLCO2B1,ABCC2; ABCG2; PIP4K2C; SLCO1B1; SLCO2B1,ABCB1; ABCC2; ABCG2; CYP1A1; CYP1A2; CYP1B1; CYP2C8; CYP2D6; CYP3A4; CYP3A5; PIP4K2C; SLCO1B1; SLCO1B3; SLCO2B1; TNNI3K; UGT1A1,erlotinib
2,2,2,6,SLCO1A2; SLCO1B1,SLCO1A2; SLCO1B1,SLCO1A2; SLCO1B1,ABCB1; CYP2D6; CYP3A4; SLCO1A2; SLCO1B1; SLCO1B3,everolimus
0,0,0,0,,,,,flucytosine
6,7,10,19,ALDH1A1; DPYD; MTHFR; PPAT; SLC29A1; UPP2,ABCG2; ALDH1A1; DPYD; MTHFR; PPAT; SLC29A1; UPP2,ABCC4; ABCC5; ABCG2; ALDH1A1; DPYD; MTHFR; PPAT; SLC22A7; SLC29A1; UPP2,ABCC3; ABCC4; ABCC5; ABCG2; ALDH1A1; CYP1A2; CYP2A6; CYP2C8; CYP2C9; DPYD; MTHFR; PPAT; SLC22A7; SLC29A1; TYMP; TYMS; UMPS; UPP1; UPP2,fluorouracil
0,0,0,0,,,,,galunisertib
1,1,1,1,SLCO1B1,SLCO1B1,SLCO1B1,SLCO1B1,gimatecan
0,1,1,3,,ABCG2,ABCG2,ABCB1; ABCG2; CYP3A4,larotrectinib
0,0,0,2,,,,CYP2D6; CYP3A4,lomustine
0,0,0,0,,,,,marizomib
